career_seq,career_major_name,career_major_category,updated_at,general_selection_subjects,career_selection_subjects,convergence_selection_subjects,source_text,source_url,collected_at
178,뮤지컬과,예체능계열,2020-12-02,화법과 언어|문학|연극,문학과 영상|연극과 몸|연극과 말|연기|무대 미술과 기술|연극제작 실습|연극 감상과 비평,매체 의사소통|연극과 삶|음악과 미디어|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 연극영화학과",https://www.career.go.kr/cloud/w/major/uView?seq=178,2026-06-02T12:18:11+00:00
179,미국학과,인문계열,2020-12-02,세계시민과 지리|세계사|사회와 문화|제2외국어 과목,동아시아 역사 기행|정치|법과 사회|경제|국제 관계의 이해,기후변화와 지속가능한 세계|세계 문화와 영어,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 국제학과",https://www.career.go.kr/cloud/w/major/uView?seq=179,2026-06-02T12:18:12+00:00
183,미술교육과,교육계열,2020-12-02,화법과 언어|독서와 작문|문학|영어Ⅰ|영어Ⅱ|영어 독해와 작문|세계사|미술,주제 탐구 독서|미술 창작|미술 감상과 비평|인간과 심리|교육의 이해,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 미술교육과",https://www.career.go.kr/cloud/w/major/uView?seq=183,2026-06-02T12:18:12+00:00
184,미술학과,예체능계열,2020-12-02,화법과 언어|독서와 작문|문학|영어 Ⅰ|영어Ⅱ|영어 독해와 작문|세계사|미술,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 철학|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 회화과",https://www.career.go.kr/cloud/w/major/uView?seq=184,2026-06-02T12:18:13+00:00
186,미용과,예체능계열,2020-12-02,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=186,2026-06-02T12:18:13+00:00
10153,반도체과,공학계열,2020-12-02,대수|미적분Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|역학과 에너지|전자기와 양자|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 신소재공학과",https://www.career.go.kr/cloud/w/major/uView?seq=10153,2026-06-02T12:18:13+00:00
195,반도체학과,공학계열,2020-12-02,대수|미적분Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|역학과 에너지|전자기와 양자|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 신소재공학과",https://www.career.go.kr/cloud/w/major/uView?seq=195,2026-06-02T12:18:14+00:00
196,방사선과,의약계열,2020-12-02,확률과 통계|화학|생명과학|현대사회와 윤리,물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|법과 사회|보건,화학 실험|생명과학 실험,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 임상병리학과",https://www.career.go.kr/cloud/w/major/uView?seq=196,2026-06-02T12:18:14+00:00
10012,방사선학과,의약계열,2020-12-02,확률과 통계|화학|생명과학|현대사회와 윤리,물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|법과 사회|보건,화학 실험|생명과학 실험,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 임상병리학과",https://www.career.go.kr/cloud/w/major/uView?seq=10012,2026-06-02T12:18:15+00:00
354,방송연예과,예체능계열,2020-12-02,화법과 언어|문학|연극,문학과 영상|연극과 몸|연극과 말|연기|무대 미술과 기술|연극제작 실습|연극 감상과 비평,매체 의사소통|연극과 삶|음악과 미디어|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 연극영화학과",https://www.career.go.kr/cloud/w/major/uView?seq=354,2026-06-02T12:18:15+00:00
