career_seq,career_major_name,career_major_category,updated_at,general_selection_subjects,career_selection_subjects,convergence_selection_subjects,source_text,source_url,collected_at
140,레크리에이션과,예체능계열,2026-04-30,독서와 작문|문학|대수|미적분 Ⅰ|확률과 통계|영어 I|영어 Ⅱ|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|정보,경제|법과 사회|윤리와 사상|국제 관계의 이해|인공지능 기초|데이터 과학,독서 토론과 글쓰기|실용 통계|실생활 영어 회화|사회문제 탐구|금융과 경제생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 스포츠경영학과",https://www.career.go.kr/cloud/w/major/uView?seq=140,2026-06-02T12:16:26+00:00
309,시각디자인학과,예체능계열,2025-10-30,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=309,2026-06-02T12:16:27+00:00
458,재활학과,의약계열,2025-09-15,물리학|화학|생명과학|현대사회와 윤리,세포와 물질대사|생물의 유전|법과 사회|보건,융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 재활치료학과",https://www.career.go.kr/cloud/w/major/uView?seq=458,2026-06-02T12:16:27+00:00
10027,스포츠재활과,예체능계열,2025-07-01,독서와 작문|문학|대수|미적분Ⅰ|확률과 통계|영어 I|영어 독해와 작문|현대사회와 윤리|생명과학|화학|정보|교육학,법과 사회|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,실생활 영어 회화|실용 통계|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 스포츠의학과",https://www.career.go.kr/cloud/w/major/uView?seq=10027,2026-06-02T12:16:28+00:00
20,건축학과,공학계열,2025-06-12,대수|미적분 Ⅰ|확률과 통계|물리학|화학|세계시민과 지리|사회와 문화|세계사,기하|미적분Ⅱ|도시의 미래 탐구|역학과 에너지|물질과 에너지|화학 반응의 세계|지구시스템과학|한국지리탐구,융합 과학 탐구|과학의 역사와 문화|기후변화와 환경생태|창의공학 설계|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 건축학과",https://www.career.go.kr/cloud/w/major/uView?seq=20,2026-06-02T12:16:29+00:00
10030,문화재보존학과,인문계열,2025-01-06,문학|독서와 작문|사회와 문화|세계시민과 지리|세계사|화학|정보,한국지리 탐구|동아시아 역사 기행|법과 사회|인문학과 윤리|화학 반응의 세계|미술 감상과 비평|한문고전 일기|삶과 종교,수학과 문화|여행지리|역사로 탐구하는 현대 세계|사회문제 탐구|미술과 매체|지식 재산 일반|언어생활과 한자,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 문화재보존학과",https://www.career.go.kr/cloud/w/major/uView?seq=10030,2026-06-02T12:16:29+00:00
10156,패션디자인학과,예체능계열,2024-12-23,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=10156,2026-06-02T12:16:29+00:00
449,바이오동물과,자연계열,2024-10-15,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 생명공학과",https://www.career.go.kr/cloud/w/major/uView?seq=449,2026-06-02T12:16:30+00:00
340,반려동물과,자연계열,2024-10-15,대수|미적분Ⅰ|확률과 통계|화학|생명과학|지구과학|정보,미적분Ⅱ|인공지능 수학|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|생활과학 탐구,실용 통계|기후변화와 환경생태,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 동물자원학과",https://www.career.go.kr/cloud/w/major/uView?seq=340,2026-06-02T12:16:30+00:00
245,산림자원학과,자연계열,2024-07-01,대수|미적분Ⅰ|확률과 통계|물리학|화학|생명과학|정보,미적분Ⅱ|인공지능 수학|한국지리 탐구|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학|생활과학 탐구,실용 통계|기후변화와 환경생태,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 식물자원학과",https://www.career.go.kr/cloud/w/major/uView?seq=245,2026-06-02T12:16:31+00:00
502,조경과,공학계열,2024-07-01,대수|미적분Ⅰ|확률과 통계|화학|생명과학|지구과학|정보,미적분Ⅱ|인공지능 수학|한국지리 탐구|도시의 미래 탐구|물질과 에너지|지구시스템과학,실용 통계|기후변화와 환경생태,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 조경학과",https://www.career.go.kr/cloud/w/major/uView?seq=502,2026-06-02T12:16:31+00:00
503,조경학과,공학계열,2024-07-01,대수|미적분Ⅰ|확률과 통계|화학|생명과학|지구과학|정보,미적분Ⅱ|인공지능 수학|한국지리 탐구|도시의 미래 탐구|물질과 에너지|지구시스템과학,실용 통계|기후변화와 환경생태,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 조경학과",https://www.career.go.kr/cloud/w/major/uView?seq=503,2026-06-02T12:16:31+00:00
437,임산공학과,자연계열,2024-07-01,대수|미적분Ⅰ|확률과 통계|물리학|화학|생명과학|정보,미적분Ⅱ|인공지능 수학|한국지리 탐구|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학|생활과학 탐구,실용 통계|기후변화와 환경생태,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 식물자원학과",https://www.career.go.kr/cloud/w/major/uView?seq=437,2026-06-02T12:16:32+00:00
660,환경조각학과,예체능계열,2024-05-13,화법과 언어|독서와 작문|문학|영어 I|영어Ⅱ|영어 독해와 작문|세계사|미술,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 철학|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 공예과(조형학과)",https://www.career.go.kr/cloud/w/major/uView?seq=660,2026-06-02T12:16:32+00:00
49,관현악과,예체능계열,2024-04-01,화법과 언어|독서와 작문|문학|영어Ⅰ|영어Ⅱ|영어 독해와 작문|사회와 문화|음악,주제 탐구 독서|심화 영어|법과 사회|경제|윤리와 사상|음악 연주와 창작|음악 감상과 비평|음악 이론|음악사|시창|청음|음악 전공 실기|합창|합주|음악 공연 실습,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|음악과 미디어|음악과 문화,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 관현악과",https://www.career.go.kr/cloud/w/major/uView?seq=49,2026-06-02T12:16:33+00:00
622,항공서비스과,사회계열,2024-03-27,현대사회와 윤리|세계시민과 지리|세계사|사회와 문화|제 2외국어 과목,직무 영어|한국지리 탐구,세계 문화와 영어|여행지리|사회문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 항공서비스학과",https://www.career.go.kr/cloud/w/major/uView?seq=622,2026-06-02T12:16:33+00:00
10041,경호학과,예체능계열,2023-07-14,독서와 작문|문학|대수|미적분I|확률과 통계|영어 Ⅰ|영어 독해와 작문|사회와 문화|현대사회와 윤리|물리학|생명과학|정보,경제|역학과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|데이터 과학,매체 의사소통|실생활 영어 회화|실용 통계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 체육학과",https://www.career.go.kr/cloud/w/major/uView?seq=10041,2026-06-02T12:16:33+00:00
613,한국어학과,인문계열,2023-06-16,화법과 언어|독서와 작문|문학|사회와 문화|현대사회와 윤리|연극,주제 탐구 독서|문학과 영상|직무 의사소통|인묵학과 윤리|논리와 사고,독서 토론과 글쓰기|매체 의사소통|언어생활 탐구|논술,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 국어국문학과",https://www.career.go.kr/cloud/w/major/uView?seq=613,2026-06-02T12:16:34+00:00
10043,한국어과,인문계열,2023-06-16,화법과 언어|독서와 작문|문학|사회와 문화|현대사회와 윤리|연극,주제 탐구 독서|문학과 영상|직무 의사소통|인묵학과 윤리|논리와 사고,독서 토론과 글쓰기|매체 의사소통|언어생활 탐구|논술,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 국어국문학과",https://www.career.go.kr/cloud/w/major/uView?seq=10043,2026-06-02T12:16:34+00:00
128,동양화과,예체능계열,2023-06-16,화법과 언어|독서와 작문|문학|영어 Ⅰ|영어Ⅱ|영어 독해와 작문|세계사|미술,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 철학|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 회화과",https://www.career.go.kr/cloud/w/major/uView?seq=128,2026-06-02T12:16:35+00:00
33,공업디자인과,예체능계열,2023-06-16,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=33,2026-06-02T12:16:35+00:00
386,그래픽디자인과,예체능계열,2023-06-16,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=386,2026-06-02T12:16:35+00:00
574,디지털디자인과,예체능계열,2023-06-16,독서와 작문|문학|대수|확률과 통계|영어Ⅰ|영어Ⅱ|영어 독해오작문|미술|정보,주제 탐구 독서|문학과 영상|미술 창작|미술 감상과 비평|인간과 심리,매체 의사소통|미디어 영어|세계 문화와 영어|여행지리|사회문제 탐구|미술과 매체,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 디자인과",https://www.career.go.kr/cloud/w/major/uView?seq=574,2026-06-02T12:16:36+00:00
339,애니메이션과,예체능계열,2023-06-16,화법과 언어|문학|독서와 작문|영어 독해와 작문|세계시민과 지리|세계사|사회와 문화|현대사회와 윤리|음악|미술|연극|정보|제2외국어,주제 탐구 독서|문학과 영상|영미 문학 읽기|영어 발표와 토론|동아시아 역사 기행|정치|법과 사회|윤리와 사상|인문학과 윤리|미술 감상과 비평|음악 감상과 비평,독서 토론과 글쓰기|메체 의사소통|미디어 영어|세계 문화와 영어|사회문제 탐구|음악과 미디어|미술과 매체|지식 재산 일반|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 문화콘텐츠학과",https://www.career.go.kr/cloud/w/major/uView?seq=339,2026-06-02T12:16:36+00:00
658,환경보건학과,의약계열,2023-06-16,화법과 언어|독서와 작문|문학|확률과 통계|영어 Ⅰ|영어프|영어 독해와 작문|세계시민과 지리|사회와 문화|현대사회와 윤리|생명과학|정보|제2외국어 과목|한문,주제 탐구 독서|영어 발표와 토론|정치|법과 사회|경제|윤리와 사상|국제 관계의 이해|생물의 유전,독서 토론과 글쓰기|실용 통계|수학과제 탐구|사회문제 탐구|기후변화와 지속가능한 세계|융합과학 탐구|보건,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 보건행정학과",https://www.career.go.kr/cloud/w/major/uView?seq=658,2026-06-02T12:16:36+00:00
439,임상병리과,의약계열,2023-06-16,확률과 통계|화학|생명과학|현대사회와 윤리,물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|법과 사회|보건,화학 실험|생명과학 실험,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 임상병리학과",https://www.career.go.kr/cloud/w/major/uView?seq=439,2026-06-02T12:16:37+00:00
341,약학부,의약계열,2023-06-16,확률과 통계|화학|생명과학|현대사회와 윤리,물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|법과 사회|보건,융합과학 탐구|화학 실험,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 약학과",https://www.career.go.kr/cloud/w/major/uView?seq=341,2026-06-02T12:16:37+00:00
653,환경공학과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|지구과학|정보|생태와 환경,기하|미적분Ⅱ|도시의 미래 탐구|역학과 에너지|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학|데이터 과학,기후변화와 환경생태|융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 환경공학과",https://www.career.go.kr/cloud/w/major/uView?seq=653,2026-06-02T12:16:38+00:00
652,환경공업과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|지구과학|정보|생태와 환경,기하|미적분Ⅱ|도시의 미래 탐구|역학과 에너지|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학|데이터 과학,기후변화와 환경생태|융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 환경공학과",https://www.career.go.kr/cloud/w/major/uView?seq=652,2026-06-02T12:16:38+00:00
606,푸드스타일링과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|사회와 문화|화학|생명과학|기술|가정|정보,미적분Ⅱ|경제|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|생활과학 탐구,실용 통계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 식품영양학과",https://www.career.go.kr/cloud/w/major/uView?seq=606,2026-06-02T12:16:39+00:00
523,지구환경과학과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|지구과학,기하|미적분Ⅱ|인공지능 수학|역학과 메너지|전자기와 양자|지구시스템과학|행성우주과학|물질과 에너지|화학 반응의 세계|한국지리 탐구,수학과제 탐구|실용 통계|기후변화와 환경생태|융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 지질학과",https://www.career.go.kr/cloud/w/major/uView?seq=523,2026-06-02T12:16:39+00:00
494,제약공학과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|역학과 에너지|전자기와 양자|물질과 에너지|화학 반응의 세계|세포와 물질대사|로봇과 공학세계,융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 화학공학과",https://www.career.go.kr/cloud/w/major/uView?seq=494,2026-06-02T12:16:39+00:00
21016,식량자원학과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보|기술|가정,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|생활과학 탐구,융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 식품공학과",https://www.career.go.kr/cloud/w/major/uView?seq=21016,2026-06-02T12:16:40+00:00
190,바이오생명정보과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 생명공학과",https://www.career.go.kr/cloud/w/major/uView?seq=190,2026-06-02T12:16:40+00:00
21010,미생물학과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|정보,기하|미적분Ⅱ|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전,융합과학 탐구|기후변화와 지속가능한 세계,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 생명공학과",https://www.career.go.kr/cloud/w/major/uView?seq=21010,2026-06-02T12:16:40+00:00
654,환경과학과,자연계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|지구과학|정보|생태와 환경,기하|미적분Ⅱ|도시의 미래 탐구|역학과 에너지|물질과 에너지|화학 반응의 세계|세포와 물질대사|생물의 유전|지구시스템과학|데이터 과학,기후변화와 환경생태|융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 환경공학과",https://www.career.go.kr/cloud/w/major/uView?seq=654,2026-06-02T12:16:41+00:00
21023,컴퓨터시스템과,공학계열,2023-06-02,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어Ⅰ|영어Ⅱ|영어독해와 작문|물리학|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|수학과제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 컴퓨터공학과",https://www.career.go.kr/cloud/w/major/uView?seq=21023,2026-06-02T12:16:41+00:00
505,조선공학과,공학계열,2023-06-02,대수|미적분 Ⅰ|확률과 통계|물리학|화학|생명과학|지구과학|정보,기하|미적분Ⅱ|역학과 에너지|전자기와 양자|물질과 에너지|화학 반응의 세계|세포와 물질대사|지구시스템과학|데이터 과학,융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 해양공학과",https://www.career.go.kr/cloud/w/major/uView?seq=505,2026-06-02T12:16:42+00:00
10117,응용소프트웨어공학과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어Ⅰ|영어Ⅱ|영어독해와 작문|물리학|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|수학과제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 소프트웨어학과",https://www.career.go.kr/cloud/w/major/uView?seq=10117,2026-06-02T12:16:42+00:00
21027,산업공학과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|세계시민과 지리|사회와 문화|정보,기하|미적분Ⅱ|도시의 미래 탐구|경제|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|사회문제 탐구|금융과 경제생활|윤리문제 탐구|창의공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 산업공학과",https://www.career.go.kr/cloud/w/major/uView?seq=21027,2026-06-02T12:16:43+00:00
250,산업공학과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|세계시민과 지리|사회와 문화|정보,기하|미적분Ⅱ|도시의 미래 탐구|경제|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|사회문제 탐구|금융과 경제생활|윤리문제 탐구|창의공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 산업공학과",https://www.career.go.kr/cloud/w/major/uView?seq=250,2026-06-02T12:16:43+00:00
149,멀티미디어학과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어 Ⅰ|영어Ⅱ|영어독해와 작문|물리학|음악|미술|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|미디어 영어|사회문제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 멀티미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=149,2026-06-02T12:16:44+00:00
532,디지털콘텐츠학과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어 Ⅰ|영어Ⅱ|영어독해와 작문|물리학|음악|미술|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|미디어 영어|사회문제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 멀티미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=532,2026-06-02T12:16:44+00:00
568,게임콘텐츠과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어 Ⅰ|영어Ⅱ|영어독해와 작문|물리학|음악|미술|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|미디어 영어|사회문제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 멀티미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=568,2026-06-02T12:16:44+00:00
21,게임공학과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어 Ⅰ|영어Ⅱ|영어독해와 작문|물리학|음악|미술|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|미디어 영어|사회문제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 멀티미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=21,2026-06-02T12:16:45+00:00
558,미디어출판과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어 Ⅰ|영어Ⅱ|영어독해와 작문|물리학|음악|미술|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|미디어 영어|사회문제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 멀티미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=558,2026-06-02T12:16:45+00:00
148,멀티미디어과,공학계열,2023-06-01,대수|확률과 통계|미적분 Ⅰ|인공지능 수학|영어 Ⅰ|영어Ⅱ|영어독해와 작문|물리학|음악|미술|정보,기하|미적분Ⅱ|인공지능 수학|전자기와 양자|역학과 에너지|로봇과 공학세계|인공지능 기초|데이터 과학,실용 통계|미디어 영어|사회문제 탐구|창의 공학 설계|소프트웨어와 생활,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 멀티미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=148,2026-06-02T12:16:46+00:00
541,천문학과,자연계열,2023-05-15,대수|미적분Ⅰ|확률과 통계|물리학|화학|지구과학|정보,기하|미적분Ⅱ|인공지능 수학|역학과 메너지|전자기와 양자|지구시스템과학|행성우주과학|물질과 에너지,수학과 문화|융합과학 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 천문학과",https://www.career.go.kr/cloud/w/major/uView?seq=541,2026-06-02T12:16:46+00:00
322,신문방송학과,사회계열,2023-05-11,문학|독서와 작문|화법과 언어|사회와 문화|정보,정치|법과 사회|경제|윤리와 사상|인간과 심리,소프트웨어와 생활|사회문제 탐구|윤리문제 탐구,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 정보미디어학과",https://www.career.go.kr/cloud/w/major/uView?seq=322,2026-06-02T12:16:46+00:00
246,산업경영과,사회계열,2023-05-11,화법과 언어|독서와 작문|문학|대수|미적분I|확률과 통계|영어I|영어II|영어 독해와 작문|세계시민과 지리|세계사|사회와 문화|정보|제2외국어 과목,미적분II|기하|경제 수학|영어 발표와 토론|법과 사회|경제|윤리와 사상|국제 관계의 이해|인공지능 기초|데이터 과학,실용 통계|수학과제 탐구|실생활 영어 회화|세계 문화와 영어|사회문제 탐구|금융과 경제생활|제2외국어 문화 과목,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 경영학과",https://www.career.go.kr/cloud/w/major/uView?seq=246,2026-06-02T12:16:47+00:00
10025,e-비즈니스과,사회계열,2023-05-11,화법과 언어|독서와 작문|문학|대수|미적분I|확률과 통계|영어I|영어II|영어 독해와 작문|세계시민과 지리|세계사|사회와 문화|정보|제2외국어 과목,미적분II|기하|경제 수학|영어 발표와 토론|법과 사회|경제|윤리와 사상|국제 관계의 이해|인공지능 기초|데이터 과학,실용 통계|수학과제 탐구|실생활 영어 회화|세계 문화와 영어|사회문제 탐구|금융과 경제생활|제2외국어 문화 과목,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 경영학과",https://www.career.go.kr/cloud/w/major/uView?seq=10025,2026-06-02T12:16:47+00:00
607,품질관리과,사회계열,2023-05-09,화법과 언어|독서와 작문|문학|대수|미적분I|확률과 통계|영어I|영어II|영어 독해와 작문|세계시민과 지리|세계사|사회와 문화|정보|제2외국어 과목,미적분II|기하|경제 수학|영어 발표와 토론|법과 사회|경제|윤리와 사상|국제 관계의 이해|인공지능 기초|데이터 과학,실용 통계|수학과제 탐구|실생활 영어 회화|세계 문화와 영어|사회문제 탐구|금융과 경제생활|제2외국어 문화 과목,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 경영학과",https://www.career.go.kr/cloud/w/major/uView?seq=607,2026-06-02T12:16:48+00:00
69,국어국문학과,인문계열,2023-05-09,화법과 언어|독서와 작문|문학|사회와 문화|현대사회와 윤리|연극,주제 탐구 독서|문학과 영상|직무 의사소통|인묵학과 윤리|논리와 사고,독서 토론과 글쓰기|매체 의사소통|언어생활 탐구|논술,"출처 : 서울특별시교육청교육연구정보원, 2022 개정 교육과정 선택 과목 안내서, 국어국문학과",https://www.career.go.kr/cloud/w/major/uView?seq=69,2026-06-02T12:16:48+00:00
